mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12.687772083282471,2.2476255588432195,0.4393044948577881,0.11805890163345993,5,0.01,100,"{'estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}",0.9099446885397185,0.9147218578145855,0.9162484448635545,0.9111755765573344,0.9167275871950626,0.9137636309940511,0.0027261651528876696,2,0.9221544179220138,0.9199682910095761,0.9202758645343945,0.9210739926607806,0.9196458488681714,0.9206236829989873,0.0009002893010096247
34.513822650909425,1.7865814934832809,1.2687092304229737,0.4207921380700363,5,0.01,300,"{'estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 300}",0.9124757722632408,0.9178922868868118,0.9184126833028257,0.9149308137809217,0.9200793111323972,0.9167581734732394,0.002710416017168692,1,0.9290390250934734,0.9262051140273637,0.9268699333084447,0.9277128764471363,0.9272196543775355,0.9274093206507906,0.0009513262620356503
55.54598627090454,0.9640719715632665,1.5384482860565185,0.043093133184872,5,0.01,500,"{'estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 500}",0.9086906841873197,0.9157643239469859,0.9145444053429266,0.9140077303998271,0.9129877608613307,0.9131989809476779,0.002425472357629064,3,0.9315666860397667,0.9276087922576517,0.9299105486156971,0.9300393540106159,0.928202551791332,0.9294655865430126,0.0014131356092300172
78.57005915641784,1.1970796357700015,2.620356035232544,0.7046038546352873,5,0.01,700,"{'estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 700}",0.9041332337120528,0.9119028837947842,0.9088207677978013,0.9097864273772763,0.9085470282515904,0.9086380681867009,0.0025421624986228923,11,0.9336386683024521,0.9291712648857627,0.9289974714675432,0.9288151385364629,0.9289853929760387,0.9299215872336519,0.0018619534717304199
102.18864359855652,1.8765667358400948,3.3634167671203614,0.5209495446682469,5,0.01,900,"{'estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 900}",0.9010028399006035,0.9081677881497613,0.9013472299070091,0.9040582037496471,0.9008747188029053,0.9030901561019853,0.0027936465965682044,30,0.9357074356593282,0.9308607082175657,0.9271795481047828,0.9246729854620358,0.9247201257937642,0.9286281606474953,0.004197976388936592
11.196903657913207,0.9841289966295655,0.4129616737365723,0.1164360077185348,5,0.1,100,"{'estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 100}",0.7505066381685022,0.7493502430045302,0.854482218064174,0.7062246030187826,0.8144073558449664,0.7749942116201911,0.052646467219036416,60,0.8026510818258756,0.7770479399317394,0.8949739309097995,0.7287706909788534,0.83677634510213,0.8080439977496795,0.055957943801395356
34.43661952018738,1.1528861157912182,1.2537825584411622,0.3745301606084267,5,0.1,300,"{'estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 300}",0.8572328140070032,0.9071293503330735,0.9032854281897155,0.9039219847044646,0.9097066047520739,0.8962552363972662,0.019647583769788524,49,0.8902746114183373,0.9189628492301827,0.919881748069218,0.915915815731453,0.9166186109260152,0.9123307270750413,0.011123974189028767
55.418601274490356,1.1842613339707806,1.546316146850586,0.019537674506275176,5,0.1,500,"{'estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 500}",0.8993831264555648,0.9095782770740827,0.9105080123406109,0.908157128606644,0.9118931332049561,0.9079039355363717,0.004430950862934834,17,0.9174816104289004,0.9177620909482962,0.9200614600128311,0.9194725719006841,0.9171995314944879,0.9183954529570398,0.0011491082171538067
77.44728055000306,2.215637392339644,2.6105654716491697,0.5459916944816978,5,0.1,700,"{'estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 700}",0.8997183236389333,0.9103116371141162,0.9128971547448352,0.9078911771374781,0.9125243599481468,0.9086685305167019,0.004819937015950854,10,0.9183400419250575,0.9176304889726612,0.9191331604793391,0.9185369904118649,0.9168299283633257,0.9180941220304497,0.0007936436399748416
102.52996149063111,1.562181913356618,3.490883636474609,0.8294343937260636,5,0.1,900,"{'estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 900}",0.901494335733631,0.9107356638234607,0.9135806463021466,0.9081120527867187,0.9128583176497576,0.9093562032591429,0.004367390686983993,8,0.9185162807374949,0.9174487254285137,0.9190909742012615,0.9184558275970118,0.9168519085064973,0.9180727432941558,0.0008074786811206056
11.192886352539062,0.9883630492297779,0.3797163009643555,0.10292349115395608,5,0.5,100,"{'estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 100}",0.890726668491184,0.8651385591867413,0.90794839987863,0.887137088004527,0.9083215458618167,0.8918544522845797,0.01592133591186373,56,0.9137040095974724,0.8919518807152504,0.9157159480068802,0.9023985415493291,0.9130561027867516,0.9073652965311367,0.008994887230069554
33.096224784851074,0.9505058828294951,1.105191135406494,0.40826023902409864,5,0.5,300,"{'estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 300}",0.9020495822450685,0.9097960953349873,0.9127488300944847,0.907076672358367,0.9130728306259746,0.9089488021317764,0.004080927204549543,9,0.9197716459375737,0.9215795488649983,0.9180130098277683,0.9205020467149106,0.918443759434522,0.9196620021559545,0.0013113331405851338
